week_id,week_start,week_end,posts_processed,twitter_posts,truth_posts,reposts,original_posts,unique_nodes,edge_count,negative_posts,neutral_posts,positive_posts,top_topic,top_topic_node,top_topic_count,top_entity,top_entity_node,top_entity_count,top_nodes_json
2010-W21,2010-05-24,2010-05-30,7,7,0,0,7,7,6,0,0,7,Media Communications,topic::media_communications,2,B,per::b,2,"[{""node"":""per::b"",""label"":""B"",""count"":2},{""node"":""per::ret"",""label"":""Ret"",""count"":2},{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":2},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":2},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":2},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1},{""node"":""loc::scotland"",""label"":""Scotland"",""count"":1}]"
2010-W22,2010-05-31,2010-06-06,4,4,0,0,4,6,10,0,0,4,Media Communications,topic::media_communications,3,Cnn,org::cnn,2,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""org::cnn"",""label"":""Cnn"",""count"":2},{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":1},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""per::king"",""label"":""King"",""count"":1},{""node"":""per::larry"",""label"":""Larry"",""count"":1}]"
2010-W23,2010-06-07,2010-06-13,4,4,0,0,4,7,10,0,2,2,Media Communications,topic::media_communications,3,Trump Tower,loc::trump tower,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":2},{""node"":""loc::trump tower"",""label"":""Trump Tower"",""count"":1},{""node"":""per::r"",""label"":""R"",""count"":1},{""node"":""org::j"",""label"":""J"",""count"":1},{""node"":""org::ny"",""label"":""Ny"",""count"":1},{""node"":""org::wsj"",""label"":""Wsj"",""count"":1}]"
2010-W24,2010-06-14,2010-06-20,4,4,0,0,4,3,2,0,2,2,Media Communications,topic::media_communications,4,Trump,loc::trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":4},{""node"":""loc::trump"",""label"":""Trump"",""count"":1},{""node"":""per::omarosa"",""label"":""Omarosa"",""count"":1}]"
2010-W25,2010-06-21,2010-06-27,4,4,0,0,4,5,7,0,2,2,Media Communications,topic::media_communications,3,Ivan,per::ivan,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":2},{""node"":""per::ivan"",""label"":""Ivan"",""count"":1},{""node"":""per::ka"",""label"":""Ka"",""count"":1},{""node"":""per::mel"",""label"":""Mel"",""count"":1}]"
2010-W26,2010-06-28,2010-07-04,4,4,0,0,4,8,10,0,1,3,Media Communications,topic::media_communications,3,Wall Street Journal,org::wall street journal,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""org::wall street journal"",""label"":""Wall Street Journal"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":1},{""node"":""loc::scotland"",""label"":""Scotland"",""count"":1},{""node"":""org::cnn"",""label"":""Cnn"",""count"":1},{""node"":""per::king"",""label"":""King"",""count"":1},{""node"":""per::larry"",""label"":""Larry"",""count"":1}]"
2010-W27,2010-07-05,2010-07-11,1,1,0,0,1,1,0,0,0,1,Endorsements Appointments,topic::endorsements_appointments,1,,,0,"[{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1}]"
2010-W28,2010-07-12,2010-07-18,1,1,0,0,1,2,1,0,0,1,Health Public Health,topic::health_public_health,1,New York,loc::new york,1,"[{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""loc::new york"",""label"":""New York"",""count"":1}]"
2010-W29,2010-07-19,2010-07-25,4,4,0,0,4,4,1,0,1,3,Social Culture Education,topic::social_culture_education,2,Westchester,loc::westchester,1,"[{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":2},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1},{""node"":""loc::westchester"",""label"":""Westchester"",""count"":1},{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1}]"
2010-W30,2010-07-26,2010-08-01,4,4,0,0,4,5,4,0,1,3,Media Communications,topic::media_communications,3,Las Vegas,loc::las vegas,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1},{""node"":""loc::las vegas"",""label"":""Las Vegas"",""count"":1},{""node"":""loc::trump"",""label"":""Trump"",""count"":1},{""node"":""loc::vegas"",""label"":""Vegas"",""count"":1}]"
